,Scrapped Data from 10 Indian cities,,,,,,,
S.No.,State,City,Parameter,Avg Period,Station,From,To,PM2.5
1,Delhi,Delhi,PM2.5,"24 Hours							","Anand Vihar, Delhi - DPCC							",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,207.96
2,Haryana,Bahadurgarh,PM2.5,"24 Hours							","Arya Nagar, Bahadurgarh - HSPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,122.97
3,Haryana,Bhiwani,PM2.5,"24 Hours							","H.B. Colony, Bhiwani - HSPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,92.83
4,Haryana,Charkhi Dadri,PM2.5,"24 Hours							","Mini Secretariat, Charkhi Dadri - HSPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,69.43
5,Rajasthan,Alwar,PM2.5,"24 Hours							","Moti Doongri, Alwar - RSPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,42.56
6,Rajasthan,Bharatpur,PM2.5,"24 Hours							","Krishna Nagar, Bharatpur - RSPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,41.46
7,Rajasthan,Bhiwadi,PM2.5,"24 Hours							","RIICO Ind. Area III, Bhiwadi - RSPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,54.14
8,Uttar Pradesh,Ghaziabad,PM2.5,"24 Hours							","Indirapuram, Ghaziabad - UPPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,132.73
9,Uttar Pradesh,Noida,PM2.5,"24 Hours							","Sector - 125, Noida - UPPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,80.08
10,Uttar Pradesh,Meerut,PM2.5,"24 Hours							","Ganga Nagar, Meerut - UPPCB",01-Jan-2025 - 00:00,01-Jan-2025 - 23:59,75.47
,,,,,,,,
,,,,,,,,
